#"Bounced boundary ID","bounce index","total time (ps)"
CHECKPOINT,0.000
1,528,253.688
1,529,253.776
1,530,255.164
1,531,255.418
1,532,255.660
1,533,257.388
1,534,257.814
1,535,258.110
1,536,258.258
1,537,259.366
CHECKPOINT,260.000
1,538,260.114
1,539,260.762
1,540,261.550
1,541,262.986
1,542,264.252
1,543,265.050
1,544,266.504
1,545,267.868
1,546,268.462
1,547,269.500
1,548,270.236
1,549,270.434
1,550,270.654
1,551,270.796
1,552,270.890
1,553,271.068
1,554,271.118
1,555,271.172
1,556,271.208
1,557,271.366
1,558,271.478
1,559,272.726
1,560,273.860
1,561,274.114
1,562,275.206
1,563,275.780
1,564,277.154
1,565,277.592
1,566,277.798
1,567,277.942
1,568,278.200
1,569,278.550
1,570,278.736
1,571,278.954
1,572,279.124
1,573,279.346
1,574,279.602
1,575,279.784
CHECKPOINT,280.000
1,576,280.664
1,577,280.908
1,578,281.564
1,579,282.554
1,580,283.468
1,581,283.832
1,582,284.134
1,583,284.568
1,584,285.228
1,585,285.582
1,586,285.958
1,587,287.158
1,588,288.012
1,589,288.882
1,590,290.420
1,591,291.318
1,592,291.428
1,593,291.546
1,594,291.672
1,595,291.808
1,596,291.936
1,597,292.090
1,598,292.214
1,599,292.340
1,600,292.474
1,601,293.316
1,602,293.988
1,603,294.540
1,604,294.886
1,605,296.434
1,606,296.754
1,607,298.476
1,608,299.016
1,609,299.136
1,610,299.292
1,611,299.458
1,612,299.626
1,613,299.782
1,614,299.932
CHECKPOINT,300.000
1,615,300.120
1,616,300.142
1,617,300.168
1,618,300.362
1,619,300.482
1,620,300.606
1,621,300.722
1,622,300.806
1,623,300.902
1,624,300.968
1,625,301.044
1,626,301.142
1,627,301.242
1,628,301.336
1,629,301.712
1,630,301.984
1,631,302.208
1,632,302.502
1,633,302.620
1,634,302.810
1,635,303.002
1,636,303.204
1,637,303.436
1,638,303.648
1,639,303.864
1,640,304.042
1,641,304.154
1,642,304.224
1,643,304.292
1,644,304.706
1,645,305.164
1,646,305.586
1,647,306.052
1,648,306.456
1,649,306.888
1,650,307.388
1,651,308.128
1,652,308.460
1,653,308.874
1,654,309.384
1,655,309.926
1,656,310.810
1,657,311.466
1,658,312.008
1,659,312.920
1,660,313.484
1,661,313.844
1,662,314.208
1,663,314.586
1,664,314.598
1,665,314.614
1,666,315.098
1,667,315.510
1,668,316.154
1,669,316.570
1,670,317.094
1,671,317.630
1,672,318.064
1,673,319.194
CHECKPOINT,320.000
1,674,320.000
1,675,321.450
1,676,321.608
1,677,323.138
1,678,323.336
1,679,324.774
1,680,325.614
1,681,326.214
1,682,326.756
